 .8..54.....56........71........418.3....6.......8....7.94...6.1.7....38...6.3.5.9,easy,781254936435689712629713458257941863148367295963825147394578621572196384816432579,
4......9.7.8...4.............2.5.86....2.8..9..961.2.7.76....5..2..6.9....594..8.,easy,461572398758391426293486715342759861617238549589614237976823154824165973135947682,
.4...52..2..3.9..........473..8.....47.5..3..152.9.....8..3..2.....2..7...97.....,easy,841675293267349581935281647396817452478562319152493768784136925513924876629758134,
.89.7......24.........6...4..8..27...26...5.1....54.8......1...7....5..6....9.8..,easy,489573612652419378137268954548132769326987541971654283865321497793845126214796835,
...9.3.5..3..24..9..5.....1.........2...75.8.....48312..........8....5..1...9.7..,easy,628913457731524869495786231814239675263175984579648312342857196987461523156392748,
1....7.....52..8......8....3.1..975...7.....6......2..91..68.3.7.815.9.2......6..,easy,186947325475231869293586174341629758827315496659874213912468537768153942534792681,
.6....1.....2.....4.7.81......8....6.....3..58...7.....523...74..35.2....1.6....3,easy,269735148581264397437981652374859216196423785825176439652318974743592861918647523,
7...8...41...59.37.....3.284.1.......8.......9.2.38........219..5..9..8.3.....4..,easy,793286514128459637645173928431627859587914263962538741876342195254791386319865472,
....1.........7..52.3....7...538.........48..7...5....5.2....43.8.1.2....31.6....,easy,874513692196247385253896471645389217319724856728651934562978143487132569931465728,
2.....8.5....12..3..7..52..715.......3.6.......4....2..2...163.5.........43....8.,easy,291436875458712963367895214715289346932674158684153729829541637576328491143967582,
..8.2.4.37...4..1...3..8..236.......2.9.3.8.6....9.....269.1.8..7..82.......7....,easy,658129473792543618143768592367815249219437856584296731426951387975382164831674925,
7.......65..8..19.....7......4..59.1.2.16..8...72.......96......1.......68.....54,easy,748591236536842197291376548864735921923164785157289463479653812315428679682917354,
5.2.....1......4...46.2..7347.2..3.6.6.4.........6.8......1..8.35.7.82....8......,easy,582374691937156428146829573479281356865437912213965847624513789351798264798642135,
.1..3.86..4...1..3...6....7.....2.8...6.5........76.5......832...354.1.6.........,easy,915437862647281593382695417754312689296854731138976254479168325823549176561723948,
2..7...51.9...14......5........4.....75..8.6..4..7.9..4.6........12....5.5....81.,easy,264789351597361428813452796629143587375928164148576932436815279981237645752694813,
7...2..1..54.3............486...2..13.2.47....1.8....7..6.7..8.24.......1...83.2.,easy,783429516654731892921568374867352941392147658415896237536274189248915763179683425,
...3.........15.7...3.84...7...5.32.4...6.1.52.....6...4...3......72..6..5....2..,easy,914372856826915473573684912761459328438267195295138647642593781389721564157846239,
...2..5..4....12.3.1...69.86.9....3.25.91.4......2...........9....135.....1.8.3..,easy,836294517497851263512376948679548132253917486184623759345762891928135674761489325,
.....8.1...43....6.17..2..83......4.9.8..6..262..91........9......6..8.....1...9.,easy,263548917894317526517962438371285649948736152625491783452879361139624875786153294,
.......5.49.57.8.......4.17..3....2.....183..58....7.49..7..........5..93.....54.,easy,137289456496571832258364917643957128729418365581623794915742683864135279372896541,
.29.54...145.3..8..........5...1.3...........378.9......4.7..989....35......28..1,easy,829154763145736982763289145596812374412367859378495216234571698981643527657928431,
4...2.3.615...94......54..9....12..4.....5.3....7..1........7.16..3.........96.2.,easy,489127356152639487367854219836912574971485632245763198593248761628371945714596823,
...85.7...4...3..5..8924.......3.5......49.32...2....8..3......4..182..78.....25.,easy,362851749941673825758924613124738596687549132539216478273465981495182367816397254,
..9...5.13....69..45..1.6......5..322...74.9...39..4.6.6...3.....1..5............,easy,629837541317546928458219673194658732286374195573921486762193854931485267845762319,
..6............17.....4..6..8.7..........9..2.2.6...451..9.6.8.9....4...7.4..862.,easy,846197253593862174217543968481725396675439812329681745132956487968274531754318629,
..72.6.......8.........12...86.175.....4.5..........2.759...81.6...5..4....7...9.,easy,317296458962584371845371269286917534173425986594863127759642813638159742421738695,
..69..8.73..6.5....4....6.2.....4..9...57..........3...5.7......9...3...63.2..98.,easy,516942837372685491849317652761834529923576148485129376154798263298463715637251984,
.2.......4.6.57....9..8.73....9.........354....7.48..25..2....96.........74..95..,easy,723691845486357921195482736841926357962735418357148692538264179619573284274819563,
..6.39...217.......4.6...1..3..4..2......5..3.5....4....5..4.......2.3.7.2.3.1...,easy,586139742217458936943672518639847125472915863851263479365784291194526387728391654,
.1..46...3..89.....7......4...1..7.......9...9..7.8....3.....7.78.3.129.2....413.,easy,519246387346897512872513964468135729127469853953728641631982475784351296295674138,
